date,stars,forks,watchers,open_issues,open_pull_requests,pushed_at,latest_release,traffic_status,traffic_error,views_14d_total,views_14d_unique,clones_14d_total,clones_14d_unique
2026-04-22,81,9,8,2,1,2026-04-21T15:24:08Z,,ok,,655,115,112,64
2026-04-23,81,9,8,2,1,2026-04-21T15:24:08Z,,ok,,655,115,112,64
2026-04-24,81,9,8,1,0,2026-04-23T08:17:47Z,,ok,,665,117,114,65
2026-04-25,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,728,127,123,70
2026-04-26,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,754,132,110,69
2026-04-27,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,754,132,110,69
2026-04-28,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,765,135,108,67
2026-04-29,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,703,128,105,66
2026-04-30,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,703,128,105,66
2026-05-01,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,632,117,85,58
2026-05-02,82,9,8,1,0,2026-04-23T08:17:47Z,,ok,,651,129,84,58
2026-05-03,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,607,125,77,53
2026-05-04,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,613,130,77,53
2026-05-05,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,586,130,74,51
2026-05-06,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,602,132,73,52
2026-05-07,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,558,137,42,34
2026-05-08,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,571,140,45,35
2026-05-09,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,488,131,41,27
2026-05-10,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,423,127,30,20
2026-05-11,83,9,8,1,0,2026-04-23T08:17:47Z,,ok,,435,121,30,19
2026-05-12,83,9,8,2,1,2026-05-11T16:35:32Z,,ok,,415,112,34,21
2026-05-13,83,9,8,2,1,2026-05-11T16:35:32Z,,ok,,426,113,35,20
2026-05-14,83,9,8,2,1,2026-05-11T16:35:32Z,,ok,,408,104,39,23
2026-05-15,83,9,8,1,0,2026-05-14T14:11:43Z,,ok,,398,103,41,23
2026-05-16,83,9,8,1,0,2026-05-14T14:11:43Z,,ok,,425,100,51,31
